family,processor,vCPU,ram(GB),price($/h),daily_price,weekly_price,monthly_price
A4,Ampere AmpereOne M A06-36M,32,512.0,1.6032,38.48,269.34,1170.34
A4,Ampere AmpereOne M A06-36M,48,96.0,0.5904,14.17,99.19,430.99
A4,Ampere AmpereOne M A06-36M,48,192.0,0.8496,20.39,142.73,620.21
A4,Ampere AmpereOne M A06-36M,48,384.0,1.368,32.83,229.82,998.64
A4,Ampere AmpereOne M A06-36M,64,128.0,0.7872,18.89,132.25,574.66
A4,Ampere AmpereOne M A06-36M,64,256.0,1.1328,27.19,190.31,826.94
A4,Ampere AmpereOne M A06-36M,64,512.0,1.824,43.78,306.43,1331.52
A4 Ax,Ampere AmpereOne M 192-36M,2,4.0,0.0526,1.26,8.84,38.4
A4 Ax,Ampere AmpereOne M 192-36M,2,8.0,0.0862,2.07,14.48,62.93
A4 Ax,Ampere AmpereOne M 192-36M,2,16.0,0.1534,3.68,25.77,111.98
A4 Ax,Ampere AmpereOne M 192-36M,2,32.0,0.2878,6.91,48.35,210.09
A4 Ax,Ampere AmpereOne M 192-36M,4,8.0,0.1052,2.52,17.67,76.8
A4 Ax,Ampere AmpereOne M 192-36M,4,16.0,0.1724,4.14,28.96,125.85
A4 Ax,Ampere AmpereOne M 192-36M,4,32.0,0.3068,7.36,51.54,223.96
A4 Ax,Ampere AmpereOne M 192-36M,4,64.0,0.5756,13.81,96.7,420.19
A4 Ax,Ampere AmpereOne M 192-36M,8,16.0,0.2104,5.05,35.35,153.59
A4 Ax,Ampere AmpereOne M 192-36M,8,32.0,0.3448,8.28,57.93,251.7
A4 Ax,Ampere AmpereOne M 192-36M,8,64.0,0.6136,14.73,103.08,447.93
A4 Ax,Ampere AmpereOne M 192-36M,8,128.0,1.1512,27.63,193.4,840.38
A4 Ax,Ampere AmpereOne M 192-36M,16,32.0,0.4208,10.1,70.69,307.18
A4 Ax,Ampere AmpereOne M 192-36M,16,64.0,0.6896,16.55,115.85,503.41
A4 Ax,Ampere AmpereOne M 192-36M,16,128.0,1.2272,29.45,206.17,895.86
A4 Ax,Ampere AmpereOne M 192-36M,16,256.0,2.3024,55.26,386.8,1680.75
A4 Ax,Ampere AmpereOne M 192-36M,32,64.0,0.8416,20.2,141.39,614.37
A4 Ax,Ampere AmpereOne M 192-36M,32,128.0,1.3792,33.1,231.71,1006.82
A4 Ax,Ampere AmpereOne M 192-36M,32,256.0,2.4544,58.91,412.34,1791.71
A4 Ax,Ampere AmpereOne M 192-36M,32,512.0,4.6048,110.52,773.61,3361.5
A4 Ax,Ampere AmpereOne M 192-36M,48,96.0,1.2624,30.3,212.08,921.55
A4 Ax,Ampere AmpereOne M 192-36M,48,192.0,2.0688,49.65,347.56,1510.22
A4 Ax,Ampere AmpereOne M 192-36M,48,384.0,3.6816,88.36,618.51,2687.57
A4 Ax,Ampere AmpereOne M 192-36M,64,128.0,1.6832,40.4,282.78,1228.74
A4 Ax,Ampere AmpereOne M 192-36M,64,256.0,2.7584,66.2,463.41,2013.63
A4 Ax,Ampere AmpereOne M 192-36M,64,512.0,4.9088,117.81,824.68,3583.42
E4,AMD EPYC 7J13,2,4.0,0.031,0.74,5.21,22.63
E4,AMD EPYC 7J13,2,8.0,0.037,0.89,6.22,27.01
E4,AMD EPYC 7J13,2,16.0,0.049,1.18,8.23,35.77
E4,AMD EPYC 7J13,2,32.0,0.073,1.75,12.26,53.29
E4,AMD EPYC 7J13,4,8.0,0.062,1.49,10.42,45.26
E4,AMD EPYC 7J13,4,16.0,0.074,1.78,12.43,54.02
E4,AMD EPYC 7J13,4,32.0,0.098,2.35,16.46,71.54
