provider,region,state,family,architecture,processor,vCPU,ram(GB),price($/h),N-price($/h),daily_price,N-daily_price,weekly_price,N-weekly_price,monthly_price,N-monthly_price
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,48,96,0.528,0.528,12.67,12.67,88.7,88.7,385.44,385.44
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,48,192,0.72,0.72,17.28,17.28,120.96,120.96,525.6,525.6
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,48,384,1.104,1.104,26.5,26.5,185.47,185.47,805.92,805.92
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,48,768,1.872,1.872,44.93,44.93,314.5,314.5,1366.56,1366.56
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,64,128,0.704,0.704,16.9,16.9,118.27,118.27,513.92,513.92
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,64,256,0.96,0.96,23.04,23.04,161.28,161.28,700.8,700.8
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,64,512,1.472,1.472,35.33,35.33,247.3,247.3,1074.56,1074.56
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,96,192,1.056,1.056,25.34,25.34,177.41,177.41,770.88,770.88
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,96,384,1.44,1.44,34.56,34.56,241.92,241.92,1051.2,1051.2
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,96,768,2.208,2.208,52.99,52.99,370.94,370.94,1611.84,1611.84
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,128,256,1.408,1.408,33.79,33.79,236.54,236.54,1027.84,1027.84
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,128,512,1.92,1.92,46.08,46.08,322.56,322.56,1401.6,1401.6
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,2,4,0.0246,0.01757,0.59,0.4214,4.13,2.95,17.96,12.83
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,2,8,0.0354,0.02529,0.85,0.6071,5.95,4.25,25.84,18.46
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,2,16,0.057,0.04071,1.37,0.9786,9.58,6.843,41.61,29.72
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,2,32,0.1002,0.07157,2.4,1.7143,16.83,12.021,73.15,52.25
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,4,8,0.0492,0.03514,1.18,0.8429,8.27,5.907,35.92,25.66
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,4,16,0.0708,0.05057,1.7,1.2143,11.89,8.493,51.68,36.91
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,4,32,0.114,0.08143,2.74,1.9571,19.15,13.679,83.22,59.44
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,4,64,0.2004,0.14314,4.81,3.4357,33.67,24.05,146.29,104.49
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,8,16,0.0984,0.07029,2.36,1.6857,16.53,11.807,71.83,51.31
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,8,32,0.1416,0.10114,3.4,2.4286,23.79,16.993,103.37,73.84
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,8,64,0.228,0.16286,5.47,3.9071,38.3,27.357,166.44,118.89
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,8,128,0.4008,0.28629,9.62,6.8714,67.33,48.093,292.58,208.99
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,16,32,0.1968,0.14057,4.72,3.3714,33.06,23.614,143.66,102.61
